epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
0,3.5255317640304566,0.1357142857142857,0.10789920616412405,1.956010016528043,0.05094905094905095,0.013851167843563281
1,1.946956831387111,0.1325,0.10332527487644695,1.9464944234261146,0.1108891108891109,0.02852004110996917
2,1.9460981355394635,0.14035714285714285,0.09486556966963902,1.941581869101548,0.05094905094905095,0.013851167843563281
3,1.9462338175092424,0.13285714285714287,0.11293566353255537,1.9511965545383725,0.03296703296703297,0.00911854103343465
4,1.946296021597726,0.14142857142857143,0.1196615573859953,1.9414951940635583,0.6693306693306693,0.11455928870650593
5,1.9468925108228412,0.13035714285714287,0.1184016525627136,1.9423336368221622,0.6693306693306693,0.11455928870650593
6,1.946931710243225,0.12321428571428572,0.09979149446540844,1.9451001324020065,0.10989010989010989,0.02828854314002829
7,1.946778871672494,0.13285714285714287,0.11127531414299077,1.9493513690841782,0.013986013986013986,0.003940886699507389
8,1.9459793751580374,0.15392857142857141,0.1362403098458398,1.9493824234018315,0.03296703296703297,0.00911854103343465
9,1.9471549074990409,0.11892857142857143,0.11062847102064452,1.943940662361168,0.1108891108891109,0.02852004110996917
10,1.9465664093835013,0.13964285714285715,0.12879561357531355,1.9444450279334924,0.05094905094905095,0.013851167843563281
11,1.946669019971575,0.1357142857142857,0.11773585413161496,1.9443918433222738,0.1108891108891109,0.02852004110996917
12,1.94661561693464,0.1407142857142857,0.12069648683135689,1.945064548607711,0.013986013986013986,0.003940886699507389
13,1.9466688878195626,0.14,0.1097204967589346,1.9489562961605045,0.03296703296703297,0.00911854103343465
14,1.9463598033360072,0.14035714285714285,0.13850446852045975,1.9487235841455754,0.03296703296703297,0.00911854103343465
