epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
0,1.829131269454956,0.25035714285714283,0.23415058438423947,1.6344039902225003,0.47052947052947053,0.2861279747808139
1,1.4900925857680185,0.4142857142857143,0.40483505703656825,1.231183976619751,0.5354645354645354,0.36839901644699885
2,1.3075218967029028,0.48642857142857143,0.4809078558891265,1.106326284644368,0.5834165834165834,0.39383940565053205
3,1.1852404192515782,0.5446428571428571,0.5380427662461763,1.1407543675644654,0.5304695304695305,0.424462929394043
4,1.1092403430598123,0.5885714285714285,0.5801566310791191,1.15164141269116,0.5424575424575424,0.4047595718660939
5,1.0187307802268437,0.6178571428571429,0.6115327768356558,1.0358336973976303,0.5824175824175825,0.49665248752181956
6,0.9344274074690683,0.6532142857142857,0.6485591233558295,0.8979429125964463,0.6493506493506493,0.5018886940900992
7,0.8780456447601318,0.6714285714285714,0.6697970846478541,0.8581195547506884,0.6613386613386614,0.5407766720155872
8,0.8371140961987632,0.6907142857142857,0.6896802611296312,0.8543041724186915,0.6563436563436563,0.5566754584308676
9,0.7541707936355045,0.7167857142857142,0.7162300710386459,1.0117957465179437,0.5934065934065934,0.5144033093943461
10,0.7182473752328328,0.7414285714285714,0.7408532927981103,0.8109131890696126,0.6993006993006993,0.5863069935091767
11,0.6681105066197259,0.7535714285714286,0.752416811110393,0.917269125327721,0.6633366633366633,0.5359790641986049
12,0.638670904061624,0.7639285714285714,0.7630756843824826,0.8633560430813026,0.6593406593406593,0.5758013157161976
13,0.6295623186656407,0.7728571428571429,0.7718840383641814,0.797730697737588,0.7072927072927073,0.6030582820705286
14,0.5969084801418441,0.7828571428571428,0.782073657100875,0.8214246880162608,0.6983016983016983,0.5693605677141474
15,0.5690057912894658,0.7810714285714285,0.7798747384095591,0.8096375444254557,0.6623376623376623,0.6198634657214954
16,0.5235245331270354,0.8053571428571429,0.8054733841575928,0.8719218527818179,0.6403596403596403,0.6089610959235886
17,0.5193181908130646,0.8139285714285714,0.8136919913674662,0.733796565191491,0.7342657342657343,0.6311976471730826
18,0.4793454364367894,0.8257142857142857,0.8247940741807765,0.6539702003414218,0.7662337662337663,0.6431531148898623
19,0.467640439335789,0.8192857142857143,0.81868673810853,0.7678877992497815,0.6983016983016983,0.6523679037515014
20,0.46312907631908146,0.8217857142857142,0.8215067443128964,0.680178722398324,0.7372627372627373,0.6835501896108939
21,0.4291286135997091,0.8275,0.8272661850110732,0.9071505480296128,0.6803196803196803,0.6359118999831544
22,0.4081911163138492,0.8496428571428571,0.8489148388667925,0.7177783851321046,0.7352647352647352,0.6898653864240122
23,0.40300181791186335,0.8475,0.8473478558029992,0.7201266635458667,0.7422577422577422,0.6281445324629065
24,0.3943084540324552,0.8546428571428571,0.8544701252796926,0.8774120080006587,0.7082917082917083,0.6085766368220923
25,0.38496512836643626,0.8492857142857143,0.8491429672270071,0.9443896219923303,0.6903096903096904,0.6400412889429788
26,0.3658640253118106,0.8639285714285714,0.8633817574607441,0.7331691930418486,0.7522477522477522,0.6479804222364758
27,0.3550418693891593,0.8732142857142857,0.8729665848613448,0.6983483978263386,0.7562437562437563,0.6598067161808088
28,0.3470197419183595,0.8732142857142857,0.8727638608036006,0.8100904285550474,0.7212787212787213,0.6377078660450275
