epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
0,1.3126246404647828,0.5189285714285714,0.516199721371896,1.3395116180330366,0.6473526473526473,0.4203484894998365
1,0.8335378112111773,0.6971428571428572,0.6947690660174041,0.8821241662695215,0.6513486513486514,0.5559202981290268
2,0.6787870655741011,0.7467857142857143,0.7451669150190836,0.7387358938659226,0.7342657342657343,0.5506207517203858
3,0.5806687154088701,0.7828571428571428,0.7817120798244916,0.8614856784755771,0.7102897102897103,0.6088021482740711
4,0.5469616053785596,0.7964285714285714,0.7952433917919571,0.6559564113974214,0.7582417582417582,0.6792612485803534
5,0.46657508032662526,0.8314285714285714,0.8305336411642396,0.6708153052168054,0.7762237762237763,0.6799749918227043
6,0.43232771277427673,0.8364285714285714,0.8360166313270708,0.7420847594559371,0.7702297702297702,0.7077609874010163
7,0.3897733666215624,0.855,0.8545904030296522,0.542345598533556,0.8101898101898102,0.6413465543138331
8,0.37451744845935275,0.8614285714285714,0.8608932127381398,0.5960234784103416,0.7982017982017982,0.7236369235214364
9,0.3375718893323626,0.8764285714285714,0.87612209376885,1.1784565984666884,0.6133866133866134,0.6074258037143583
10,0.2903450026682445,0.8967857142857143,0.8965538016992364,0.5681203971137772,0.8041958041958042,0.7127027221759246
11,0.2655034535271781,0.9089285714285714,0.9085855580857932,0.6782101480277268,0.7392607392607392,0.7063157420182499
12,0.25605608701705934,0.9078571428571428,0.9075155212351668,0.5288887513981951,0.8311688311688312,0.7546654503515836
13,0.260646060194288,0.9046428571428572,0.9044048325224726,0.5383096217037319,0.8091908091908092,0.7296792712462816
14,0.22906367872442518,0.9185714285714286,0.9184246348749027,0.6937175574121657,0.7942057942057942,0.7189134759770148
15,0.21883749714919498,0.9225,0.9223426607236965,0.7514099631157074,0.7392607392607392,0.7134127685408927
16,0.2024580156803131,0.9242857142857143,0.9241464760555452,1.046136763784197,0.6973026973026973,0.672078216308497
17,0.16933707186153957,0.9385714285714286,0.9385180707549782,0.7320195768739317,0.7922077922077922,0.7258449812623919
18,0.1859026940379824,0.9328571428571428,0.9328170271999914,0.7005060976678199,0.8101898101898102,0.7101762728607358
19,0.16553013375827244,0.9453571428571429,0.9453024561271622,0.8201478807838051,0.7802197802197802,0.6865294420363771
20,0.1865004312992096,0.9346428571428571,0.9345784005953119,0.61900666370973,0.8251748251748252,0.7429348892014226
21,0.14285357347556524,0.9539285714285715,0.953951889649365,0.7504086694517336,0.7922077922077922,0.738043938042909
22,0.13121356717177798,0.9564285714285714,0.956451205302743,0.8307903444731272,0.7662337662337663,0.6956794484988842
