epoch,train_loss,train_acc,val_loss,val_acc
0,1.7664715780530658,0.27071428571428574,1.54196616230192,0.3866133866133866
1,1.4101607840401786,0.4539285714285714,1.1118556138399718,0.5434565434565435
2,1.2506359250204904,0.5117857142857143,1.3518140747116043,0.5084915084915085
3,1.1105685145514352,0.5785714285714286,0.9901086885731418,0.6453546453546454
4,1.0844881136076792,0.5932142857142857,0.9706653735854409,0.6113886113886113
5,0.9786845547812325,0.6407142857142857,0.9781884771960598,0.5694305694305695
6,0.9814137741497585,0.6353571428571428,1.3147970402871931,0.5124875124875125
7,0.914916855267116,0.6575,1.2232795392835771,0.5844155844155844
8,0.8434249537331717,0.6857142857142857,0.9532169069086279,0.6183816183816184
9,0.8628504776954651,0.6785714285714286,1.1106668190284448,0.5994005994005994
10,0.8873097334589277,0.6692857142857143,0.816167053404626,0.6943056943056943
11,0.8352756503650121,0.6896428571428571,1.1604788791645062,0.5604395604395604
12,0.8092401392119272,0.7128571428571429,1.117942468507902,0.6163836163836164
13,0.8280562247548785,0.6928571428571428,1.3041029076476198,0.5794205794205795
14,0.7384920934268406,0.7328571428571429,1.1685582558353702,0.5494505494505495
15,0.7789673260280064,0.7157142857142857,1.1712568957846123,0.5734265734265734
16,0.7528316756657192,0.7264285714285714,0.9964228835139242,0.6303696303696303
17,0.7305682563781738,0.7325,1.038360342993722,0.6023976023976024
18,0.7484633571760995,0.7339285714285714,0.8479776392568956,0.6803196803196803
19,0.721869262286595,0.7417857142857143,1.0744548714482463,0.5664335664335665
20,0.7080215695926121,0.7307142857142858,0.9458502229753432,0.6693306693306693
