epoch,train_loss,train_acc,val_loss,val_acc
0,1.7014663634981428,0.3357142857142857,1.6665921780493829,0.4005994005994006
1,1.4541739313943045,0.4392857142857143,1.6793521362822967,0.4935064935064935
2,1.3827450125558036,0.48428571428571426,1.0266060050312693,0.5734265734265734
3,1.2668766989026752,0.525,0.9722794983889554,0.6203796203796204
4,1.197985700879778,0.5632142857142857,1.2416603625952065,0.4805194805194805
5,1.1864522797720773,0.5653571428571429,0.9348567203208283,0.6603396603396603
6,1.1222783367974418,0.5842857142857143,1.2069919987634703,0.5864135864135864
7,1.1325608784811838,0.5864285714285714,1.7272470959654818,0.5124875124875125
8,1.0558709389822825,0.605,1.391845524489701,0.4995004995004995
9,1.0232573447908675,0.6178571428571429,1.6300801497239332,0.4955044955044955
10,0.9866448218481881,0.6414285714285715,1.2697244962374052,0.5524475524475524
11,0.9779515409469605,0.6432142857142857,0.8856425656900777,0.6573426573426573
12,0.947814428125109,0.6542857142857142,1.110919798766221,0.5874125874125874
13,0.9221183201244899,0.6528571428571428,1.6682625121765442,0.44955044955044954
14,0.8887402125767299,0.6771428571428572,1.4721935738574017,0.5214785214785215
15,0.8445188178334917,0.6892857142857143,1.321183103186029,0.5924075924075924
