epoch,train_loss,train_acc,val_loss,val_acc
0,1.946752257347107,0.1457142857142857,1.9517413147917757,0.05994005994005994
1,1.937221736226763,0.14785714285714285,1.9454576315341534,0.1878121878121878
2,1.870707447869437,0.22392857142857142,1.6020850485021418,0.3776223776223776
3,1.7571351766586303,0.27964285714285714,1.424242964514962,0.46253746253746253
4,1.7179553849356515,0.30142857142857143,1.297443411924265,0.4675324675324675
5,1.7099748965672084,0.3057142857142857,1.3652260579786577,0.43956043956043955
6,1.6841373184749058,0.3057142857142857,1.4248211576745704,0.4255744255744256
7,1.6717885303497315,0.31785714285714284,1.3974386879971454,0.42957042957042957
8,1.6653035722460066,0.315,1.3998365016369434,0.43156843156843155
9,1.6553726523263115,0.3221428571428571,1.4231735964516898,0.4245754245754246
10,1.644489733832223,0.32571428571428573,1.4434847528046066,0.4145854145854146
11,1.6210007183892385,0.3385714285714286,1.5095511259256185,0.3946053946053946
12,1.627071099281311,0.34035714285714286,1.4096514989327003,0.43356643356643354
13,1.6075355454853604,0.35642857142857143,1.4113177972120958,0.4085914085914086
14,1.5761209208624705,0.37357142857142855,1.3799942074479399,0.4355644355644356
