epoch,train_loss,train_acc,val_loss,val_acc
0,1.9958305481501988,0.20535714285714285,1.6205384616966134,0.45354645354645357
1,1.7478004217147827,0.31892857142857145,1.8243754231608236,0.38461538461538464
2,1.645981377192906,0.3532142857142857,1.7588902279570862,0.3916083916083916
3,1.5998273188727243,0.3775,1.435432637726272,0.4865134865134865
4,1.565890643256051,0.3925,1.31760798610531,0.4795204795204795
5,1.5285532781055995,0.41928571428571426,1.3260258187304486,0.4975024975024975
6,1.516442904472351,0.4007142857142857,1.5161378474145026,0.41858141858141856
7,1.474472791126796,0.4203571428571429,1.3131736737269384,0.4855144855144855
8,1.4057551309040615,0.4446428571428571,1.1462937575596552,0.5724275724275725
9,1.4249756227220807,0.44357142857142856,1.135931889851253,0.5514485514485514
10,1.399699021748134,0.44857142857142857,1.5057030552988881,0.4175824175824176
11,1.3632805401938302,0.4757142857142857,1.308228623259675,0.5364635364635365
12,1.3611651304789951,0.4764285714285714,1.131090938747227,0.5534465534465535
13,1.33774452822549,0.4857142857142857,1.5420196163547146,0.4025974025974026
14,1.3132190302440099,0.49535714285714283,1.1848159109676755,0.5394605394605395
15,1.2961991841452463,0.49785714285714283,1.410980584857228,0.44455544455544455
16,1.2622074501855032,0.5014285714285714,1.298165259423194,0.48951048951048953
17,1.2567414890016828,0.5317857142857143,1.283333575451648,0.5304695304695305
18,1.2224090024403163,0.5325,0.9366147820647065,0.6473526473526473
19,1.2310187080928257,0.5317857142857143,1.1950758389540606,0.5644355644355644
20,1.2235093191691808,0.5292857142857142,0.9908996461988329,0.6143856143856143
21,1.197917709350586,0.5510714285714285,1.163508471909103,0.5404595404595405
22,1.1524329287665231,0.5635714285714286,1.2558772887859668,0.5334665334665335
23,1.1559832450321743,0.5721428571428572,1.0785985705140348,0.6043956043956044
24,1.17276036466871,0.5596428571428571,1.0433804954324926,0.5804195804195804
25,1.139464111668723,0.5728571428571428,1.0526026231306536,0.5804195804195804
26,1.1194531849452427,0.5832142857142857,1.3526951063882102,0.4985014985014985
27,1.1235573823111398,0.585,1.0491646879560106,0.6183816183816184
28,1.1097027247292655,0.5946428571428571,1.2377095209373223,0.5534465534465535
